Date,Open,High,Low,Close*,Adj Close**,Volume
2022-07-17,7.1781,7.3118,6.9226,6.9236,6.9236,311165509
2022-07-16,6.8048,7.1934,6.5762,7.1760,7.1760,361139521
2022-07-15,6.7188,6.9540,6.6645,6.8055,6.8055,348479784
2022-07-14,6.4691,6.7461,6.3066,6.7186,6.7186,336822812
2022-07-13,6.2988,6.5060,6.0948,6.4698,6.4698,390364728
2022-07-12,6.5365,6.6141,6.2956,6.2986,6.2986,315259839
2022-07-11,6.8573,6.8913,6.5273,6.5364,6.5364,334860344
2022-07-10,7.2615,7.2615,6.7859,6.8587,6.8587,418579710
2022-07-09,7.0692,7.3536,7.0606,7.2615,7.2615,397589950
2022-07-08,7.3093,7.4358,6.9681,7.0712,7.0712,533020119
2022-07-07,6.9302,7.3276,6.8990,7.3104,7.3104,495849189
2022-07-06,6.8507,6.9925,6.7276,6.9300,6.9300,478051157
2022-07-05,7.1686,7.1954,6.6560,6.8494,6.8494,617560339
2022-07-04,6.8447,7.1941,6.6834,7.1738,7.1738,414648616
2022-07-03,6.8250,6.9630,6.6528,6.8438,6.8438,282225615
2022-07-02,6.7340,6.8932,6.6486,6.8259,6.8259,353342023
2022-07-01,7.0547,7.2049,6.5816,6.7299,6.7299,623803205
2022-06-30,7.0145,7.0404,6.6623,7.0399,7.0399,553377124
2022-06-29,7.3106,7.4231,6.9779,7.0091,7.0091,562068690
2022-06-28,7.7426,7.9785,7.2804,7.3101,7.3101,454633640
2022-06-27,7.8358,8.1856,7.7435,7.7441,7.7441,363436649
2022-06-26,8.1315,8.4596,7.8339,7.8356,7.8356,386725611
2022-06-25,8.2028,8.3437,7.8153,8.1337,8.1337,355679049
2022-06-24,7.7865,8.3108,7.7413,8.2059,8.2059,478986341
2022-06-23,7.4101,7.7948,7.3944,7.7871,7.7871,414053779
2022-06-22,7.7472,7.7995,7.3787,7.4085,7.4085,396873053
2022-06-21,7.8849,8.2402,7.7110,7.7422,7.7422,430086919
2022-06-20,7.5188,8.0078,7.2080,7.8869,7.8869,495307749
2022-06-19,7.0557,7.6007,6.7930,7.5167,7.5167,485916449
2022-06-18,7.2922,7.3975,6.4937,7.0581,7.0581,573388413
2022-06-17,7.1042,7.4340,7.0623,7.2943,7.2943,427132202
2022-06-16,8.5101,8.5296,7.0061,7.1000,7.1000,656027695
2022-06-15,7.3668,8.6143,6.8639,8.5103,8.5103,1047848436
2022-06-14,7.0102,7.5225,6.7318,7.3655,7.3655,825671035
2022-06-13,7.4418,7.4450,6.4277,7.0102,7.0102,1019556301
2022-06-12,8.0162,8.0961,7.4500,7.4500,7.4500,540721211
2022-06-11,8.6534,8.8372,7.9570,8.0162,8.0162,453457201
2022-06-10,9.2327,9.3480,8.6297,8.6528,8.6528,463759922
